date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2022-03-01,353.55,31221.46211,38434.62398,69635.41042,4192.8
2022-04-01,290.61,35030.48049,41932.17476,76947.12852,2892.8
2022-05-01,431.71,38848.80286,45496.40961,84334.05285,2892.8
2022-06-01,607.57,44326.48406,48772.1511,93020.4603,2892.8
2022-07-01,490.80,46454.1553,51503.39157,97857.52423,2892.8
2022-08-01,483.65,47290.33009,52996.98992,100206.1048,2892.8
2022-09-01,477.34,47621.3624,54851.88457,102310.433,2892.8
2022-10-01,497.62,47097.52742,55180.99588,102208.1226,3464.7
2022-11-01,510.07,46438.16203,55180.99588,101594.8738,3464.7
2022-12-01,504.59,46298.84755,55401.71986,101594.8738,3464.7
2023-01-01,491.99,46391.44524,56011.13878,102306.038,3464.7
2023-02-01,437.22,45463.61634,58083.55091,103431.4044,3464.7
2023-03-01,422.75,44508.88039,59419.47258,103741.6986,3464.7
2023-04-01,373.19,44642.40703,58231.08313,102704.2816,2558.2
2023-05-01,419.78,45088.8311,57998.1588,102909.6902,2558.2
2023-06-01,540.29,45539.71942,57650.16985,103012.5999,2558.2
2023-07-01,492.30,45357.56054,57073.66815,102291.5117,2558.2
2023-08-01,403.91,44767.91225,57701.4785,102291.5117,2558.2
2023-09-01,397.14,45170.82346,58047.68737,103109.8438,2558.2
2023-10-01,433.00,44673.9444,58628.16424,103109.8438,3322
2023-11-01,603.75,45478.0754,59038.56139,104347.1619,3322
2023-12-01,675.03,47115.28612,58861.44571,105808.0221,3322
2024-01-01,731.65,48340.28356,60745.01197,108982.2628,3322
2024-02-01,638.51,47760.20015,61048.73703,108764.2983,3322
2024-03-01,449.56,46757.23595,59827.76229,106480.248,3322
2024-04-01,349.67,46102.63465,59528.62348,105521.9258,
2024-05-01,420.10,45364.99249,59350.03761,104572.2285,
2024-06-01,702.00,46453.75231,59112.63746,105513.3785,
2024-07-01,643.91,46686.02107,58285.06053,104880.2982,
2024-08-01,461.23,45845.67269,57702.20993,103411.9741,
2024-09-01,418.74,45478.90731,57529.1033,102894.9142,
2024-10-01,,45296.99168,57183.92868,102380.4396,
2024-11-01,,45478.17965,57126.74475,102482.8201,
2024-12-01,,46660.61232,57069.618,103610.1311,
